tic,anchor_date,mkvaltq,EV,Pred_EBIT_dollar,True_EBIT_dollar,Pred_EBIT_EV,True_EBIT_EV
UAL,2017-12-31,19341.9802,41541.980200000005,1630.97259371206,1826.8924052135392,0.03926082930712243,0.043977017860442266
ALK,2017-12-31,9046.2141,13507.2141,499.08212005315363,452.05869040870596,0.036949301044480645,0.033467944393411664
NEM,2017-12-31,20001.3492,22194.3492,728.8755251198709,691.2564511226137,0.032840590122816975,0.031145605797831356
DECK,2017-12-31,2548.5795,2451.4715,68.74084208827495,61.767823286836325,0.028040645011893853,0.02519622328337748
GE,2017-12-31,151475.964,202256.964,5350.622002955646,6476.268642396299,0.026454574898867985,0.03202000323902963
AAPL,2017-12-31,859967.7987,1045688.7987000002,25026.973207794832,24463.804974695122,0.02393348120292419,0.02339491921985634
SWKS,2017-12-31,17318.88,15958.880000000001,345.6328333642455,711.2099293207889,0.021657712406149148,0.04456515302582567
TPR,2017-12-31,12596.704,13350.003999999999,274.14306701197455,471.7195259541414,0.020535055046573363,0.035334785364419474
LRCX,2017-12-31,29350.1456,31904.9656,611.6866789681086,1538.6554765026053,0.01917214663814302,0.048226207036017155
CNC,2017-12-31,17496.3246,27447.3246,482.992078294821,449.43686928899575,0.017597054916413273,0.016374523777410194
UNH,2017-12-31,213625.74,278235.74,4510.982483310201,3915.806599821381,0.016212807467905457,0.014073700955245294
HAS,2017-12-31,11311.2605,12675.3325,181.2532747133211,169.02064965988478,0.014299686001398472,0.013334612694371905
VFC,2017-12-31,29290.828,33651.577000000005,317.4107153979418,355.18167637744637,0.009432268668952476,0.010554681475327184
MMM,2017-12-31,140017.8471,155705.8471,1043.471946340738,2615.379896040314,0.0067015591628398,0.01679692795583085
MSFT,2017-12-31,659085.7,782114.7,4323.203393921139,6803.7953473466705,0.005527582327657489,0.00869922959809689
IT,2017-12-31,11184.8525,15987.932499999999,75.86690661296173,68.88172680260713,0.004745260627849269,0.004308357369072401
AMD,2017-12-31,9940.76,11566.76,-12.371780725134586,-17.143484251385093,-0.0010695977719892681,-0.0014821336529317712
AMZN,2017-12-31,566023.48,635089.48,-2461.97093542633,-454.8919053374694,-0.0038765733222763036,-0.0007162642740318568
ILMN,2017-12-31,32118.03,32667.03,-262.04798625730047,-215.5364032274048,-0.00802178790839879,-0.006597979774329188
MU,2017-11-30,49087.62,54905.62,3113.2444357326176,9212.244760311578,0.05670174447957454,0.16778327537894258
ADBE,2017-11-30,89149.3151,92252.1211,-972.0976263445888,-530.2842988735526,-0.010537401360027794,-0.005748207114920772
CSCO,2017-10-31,169076.65,208253.65,2214.9553695263626,2499.414317459394,0.010635853775078433,0.012001779164299854
NVDA,2017-10-31,125326.86,125532.86,188.56119345098233,-123.70455029715386,0.0015020863338171561,-0.0009854356086299145
WDC,2017-09-30,25488.0,35686.0,2805.0787955645883,3206.120624364541,0.07860446100892754,0.08984253276815954
ALK,2017-09-30,9410.7265,14064.7265,675.6397314052715,429.32737935611385,0.04803788622589081,0.030525113969056834
UAL,2017-09-30,18035.8218,39913.821800000005,1588.6458491629178,1518.2354811362886,0.03980189762642367,0.03803783783832718
STX,2017-09-30,9594.7874,14769.787400000001,557.5264985847901,599.1181771542563,0.037747767350042566,0.04056376445569259
NEM,2017-09-30,20005.4334,22228.4334,790.3086060201239,814.955733620605,0.03555394983526477,0.036662760661334094
LRCX,2017-09-30,30003.1258,31538.864800000003,831.1538538251692,1391.3253871427019,0.026353321817250985,0.04411463113734841
SWKS,2017-09-30,18657.89,17428.99,369.57919123200116,486.0690131248614,0.021204854167223754,0.02788853588904815
GE,2017-09-30,209691.0153,257408.01529999997,5437.529818036252,6480.5323686648535,0.021124166672506304,0.025176109458409916
DECK,2017-09-30,2191.6512,2333.4411999999993,45.64352928889796,49.097990888650735,0.019560608293407167,0.02104102339868292
TPR,2017-09-30,11447.576,12896.776,235.8089218093331,228.79730818729016,0.01828433104593994,0.017740659230437914
AAPL,2017-09-30,790050.0981,961286.0981,16710.66648456286,12217.001402246986,0.01738365562301567,0.012709017041226456
MMM,2017-09-30,125018.1192,139613.11920000002,2368.1953045707883,1816.0291107147596,0.01696255565480402,0.013007582103464381
CNC,2017-09-30,16699.2118,26840.2118,345.54386641479437,242.0429827949178,0.012874111016321948,0.009017923725732962
UNH,2017-09-30,189778.65,252084.65000000002,3193.373911194073,2853.6842904243954,0.01266786339903708,0.011320341363206348
MSFT,2017-09-30,575062.8,702495.8,6638.5091438075515,3603.878941554592,0.00944989157772552,0.005130107456236168
HAS,2017-09-30,12165.3845,14098.6245,119.0997179783128,123.00093296088203,0.00844761260066986,0.008724321508164292
VFC,2017-09-30,25078.5557,29244.212700000004,102.77946604678736,134.11140904191598,0.0035145232699934285,0.004585912789572754
IT,2017-09-30,11277.2689,15631.915899999998,-4.004018481294092,1.7351196090640109,-0.0002561438090448077,0.00011099852507932256
AMZN,2017-09-30,463370.7,527709.7,-2854.970390293376,-2736.6424595374583,-0.005410115429550331,-0.005185886216488835
